"Time of Direction Change:","Starting X Acceleration:","Next X Acceleration:","X Acceleration Delta:","Starting Y Acceleration","Next Y Acceleration:","Y Acceleration Delta:"
"Thu Jan 01 15:00:47 EST 1970","0.03182888","-0.010603547","0.042432426999999995","-0.21423697","4.684208","4.89844497"
"Thu Jan 01 15:00:48 EST 1970","-0.02312237","0.026533365","0.049655735","0.045553207","-4.963574","5.009127207000001"
"Thu Jan 01 15:00:48 EST 1970","0.03754556","0.079303384","0.041757824000000006","-2.532919","2.9429832","5.4759022"
"Thu Jan 01 15:00:48 EST 1970","0.19136214","0.1844554","0.0069067399999999946","0.4696641","-3.970268","4.4399321"
"Number of Direction Changes:","4","Average X Acceleration Change","0.0351881815","Average Y Acceleration Change","4.95585161925"
"Configuration File Used:"
"{"
"Username = mc"
"File = /data/Breakfast1.csv"
"Task = all"
"Acceleration Process = 1"
"Analysis = Pause:2.5"
"Analysis = Direction:3.5:1"
"Analysis = Tasktime"
"Analysis = Acceleration"
"}"
