"Time of Direction Change:","Starting X Acceleration:","Next X Acceleration:","X Acceleration Delta:","Starting Y Acceleration","Next Y Acceleration:","Y Acceleration Delta:"
"Thu Jan 01 15:00:50 EST 1970","0.07363534","-0.13298202","0.20661736","-0.439497","3.6629996","4.1024966"
"Thu Jan 01 15:00:50 EST 1970","-0.19874197","-0.08566457","0.1130774","0.9013543","-4.2146597","5.116014000000001"
"Thu Jan 01 15:00:51 EST 1970","-0.08044928","-0.0811072","6.579200000000063E-4","-0.5104728","4.4876566","4.9981294"
"Thu Jan 01 15:00:52 EST 1970","0.07785642","0.14201522","0.0641588","0.1125412","-4.781701","4.8942422"
"Number of Direction Changes:","4","Average X Acceleration Change","0.09612786999999999","Average Y Acceleration Change","4.777720550000001"
"Configuration File Used:"
"{"
"Username = mc"
"File = /data/Breakfast1.csv"
"Task = all"
"Acceleration Process = 1"
"Analysis = Pause:2.5"
"Analysis = Direction:3.5:1"
"Analysis = Tasktime"
"Analysis = Acceleration"
"}"
